ValorK;valor del n del universo;tiempo tardado
1;1;33
3;1;34
2;1;34
4;1;34
6;1;34
5;1;34
7;1;34
9;1;34
8;1;34
10;1;33
12;1;34
11;1;34
13;1;34
14;1;33
15;1;34
16;1;33
18;1;33
17;1;33
19;1;33
20;1;33
21;1;34
22;1;33
23;1;34
24;1;34
25;1;34
26;1;35
1;2;33
2;2;33
3;2;34
4;2;34
5;2;34
6;2;34
7;2;33
8;2;34
9;2;34
10;2;33
12;2;33
11;2;34
13;2;33
15;2;33
14;2;34
16;2;34
17;2;34
18;2;35
19;2;34
20;2;34
21;2;34
22;2;34
23;2;34
24;2;35
25;2;34
26;2;37
2;3;32
1;3;33
3;3;33
4;3;33
6;3;33
5;3;33
7;3;34
9;3;33
8;3;34
10;3;34
12;3;34
11;3;34
13;3;33
15;3;34
14;3;34
16;3;33
17;3;33
18;3;34
19;3;34
20;3;34
21;3;34
22;3;34
23;3;34
24;3;35
25;3;34
26;3;35
2;4;31
1;4;32
3;4;32
4;4;33
6;4;34
5;4;34
7;4;34
9;4;34
8;4;34
10;4;34
11;4;34
12;4;34
13;4;34
15;4;33
14;4;34
16;4;33
17;4;34
18;4;34
19;4;33
20;4;34
21;4;34
22;4;33
23;4;34
24;4;34
25;4;34
26;4;35
2;5;31
3;5;31
1;5;32
4;5;32
5;5;33
6;5;34
7;5;34
8;5;34
9;5;34
10;5;34
11;5;34
12;5;34
13;5;34
14;5;34
15;5;34
16;5;34
17;5;34
18;5;34
19;5;34
20;5;34
21;5;34
22;5;34
23;5;34
24;5;36
25;5;34
26;5;38
3;6;30
2;6;31
1;6;33
4;6;31
5;6;33
6;6;34
7;6;36
8;6;35
9;6;35
10;6;36
11;6;36
12;6;36
13;6;35
14;6;36
15;6;35
16;6;35
17;6;35
18;6;36
19;6;36
20;6;36
21;6;36
22;6;35
23;6;36
24;6;37
25;6;35
26;6;36
3;7;30
2;7;32
1;7;33
4;7;32
5;7;33
6;7;34
7;7;35
8;7;35
9;7;35
10;7;35
11;7;34
12;7;34
13;7;35
14;7;35
15;7;35
16;7;35
17;7;35
18;7;36
19;7;35
20;7;35
21;7;35
22;7;35
23;7;35
24;7;37
25;7;38
26;7;39
3;8;31
2;8;33
1;8;34
4;8;30
5;8;31
6;8;33
7;8;34
8;8;36
9;8;36
10;8;36
11;8;36
12;8;35
13;8;35
14;8;35
15;8;36
16;8;35
17;8;36
18;8;35
19;8;35
20;8;35
21;8;35
22;8;35
23;8;36
24;8;43
25;8;36
26;8;43
3;9;32
2;9;33
1;9;34
4;9;30
5;9;30
6;9;31
7;9;33
8;9;34
9;9;36
10;9;35
11;9;36
12;9;35
13;9;36
14;9;35
15;9;36
16;9;35
17;9;35
18;9;35
19;9;36
20;9;35
21;9;36
22;9;36
23;9;36
24;9;40
25;9;35
26;9;43
3;10;32
2;10;33
1;10;34
5;10;28
4;10;30
6;10;30
7;10;31
8;10;32
9;10;33
10;10;36
11;10;36
12;10;36
13;10;36
14;10;36
