Resultado Quicksort;Resultado RadixSort;Valor n en 2^n;n° prueba;valor k radixsort
2;33;1;1;1
2;33;1;2;1
2;32;1;4;1
2;33;1;3;1
2;33;1;6;1
2;33;1;5;1
2;33;1;7;1
2;33;1;8;1
2;33;1;9;1
2;33;1;10;1
2;33;1;11;1
2;32;1;12;1
2;33;1;13;1
2;33;1;14;1
2;32;1;16;1
2;33;1;15;1
2;32;1;17;1
2;32;1;18;1
2;32;1;19;1
2;33;1;20;1
2;33;1;21;1
2;33;1;22;1
2;33;1;23;1
2;33;1;24;1
2;35;1;25;1
2;34;1;26;1
2;33;1;27;1
2;33;1;28;1
2;33;1;29;1
2;33;1;100;1
2;33;1;99;1
2;33;1;98;1
2;33;1;97;1
2;33;1;96;1
2;33;1;95;1
2;33;1;94;1
2;33;1;93;1
2;33;1;92;1
2;33;1;91;1
2;33;1;90;1
2;33;1;89;1
2;33;1;88;1
2;33;1;87;1
2;33;1;86;1
2;33;1;85;1
2;33;1;84;1
2;33;1;83;1
2;33;1;82;1
2;33;1;81;1
2;33;1;80;1
2;33;1;79;1
2;33;1;78;1
2;33;1;77;1
2;33;1;76;1
2;33;1;75;1
2;33;1;74;1
2;33;1;73;1
2;33;1;72;1
2;33;1;71;1
2;33;1;70;1
2;33;1;69;1
2;33;1;68;1
2;33;1;67;1
2;33;1;66;1
2;33;1;65;1
2;33;1;64;1
2;33;1;63;1
2;33;1;62;1
2;33;1;61;1
2;33;1;60;1
2;33;1;59;1
2;33;1;58;1
2;33;1;57;1
2;33;1;56;1
2;33;1;55;1
2;33;1;54;1
2;33;1;53;1
2;33;1;52;1
2;33;1;51;1
2;33;1;50;1
2;33;1;49;1
2;33;1;48;1
2;33;1;47;1
2;33;1;46;1
2;33;1;45;1
2;33;1;44;1
2;33;1;43;1
2;33;1;42;1
2;33;1;41;1
2;33;1;40;1
2;33;1;39;1
2;33;1;38;1
2;33;1;37;1
2;33;1;36;1
2;33;1;35;1
2;33;1;34;1
2;33;1;33;1
2;33;1;32;1
2;33;1;31;1
2;33;1;30;1
2;33;2;1;1
2;33;2;2;1
2;33;2;3;1
2;33;2;4;1
2;33;2;5;1
2;33;2;6;1
2;33;2;8;1
2;33;2;7;1
2;33;2;9;1
2;33;2;10;1
2;33;2;12;1
2;33;2;11;1
2;33;2;13;1
2;33;2;14;1
2;33;2;15;1
2;33;2;16;1
