;Resultado Quicksort;Resultado RadixSort;Valor n en 2^n;n° prueba;valor k radixsort
0;2.0;33.0;1;1;1
1;2.0;33.0;1;2;1
2;2.0;32.0;1;4;1
3;2.0;33.0;1;3;1
4;2.0;33.0;1;6;1
5;2.0;33.0;1;5;1
6;2.0;33.0;1;7;1
7;2.0;33.0;1;8;1
8;2.0;33.0;1;9;1
9;2.0;33.0;1;10;1
10;2.0;33.0;1;11;1
11;2.0;32.0;1;12;1
12;2.0;33.0;1;13;1
13;2.0;33.0;1;14;1
14;2.0;32.0;1;16;1
15;2.0;33.0;1;15;1
16;2.0;32.0;1;17;1
17;2.0;32.0;1;18;1
18;2.0;32.0;1;19;1
19;2.0;33.0;1;20;1
20;2.0;33.0;1;21;1
21;2.0;33.0;1;22;1
22;2.0;33.0;1;23;1
23;2.0;33.0;1;24;1
24;2.0;35.0;1;25;1
25;2.0;34.0;1;26;1
26;2.0;33.0;1;27;1
27;2.0;33.0;1;28;1
28;2.0;33.0;1;29;1
29;2.0;33.0;1;30;1
30;2.0;33.0;2;1;1
31;2.0;33.0;2;2;1
32;2.0;33.0;2;3;1
33;2.0;33.0;2;4;1
34;2.0;33.0;2;5;1
35;2.0;33.0;2;6;1
36;2.0;33.0;2;8;1
37;2.0;33.0;2;7;1
38;2.0;33.0;2;9;1
39;2.0;33.0;2;10;1
40;2.0;33.0;2;12;1
41;2.0;33.0;2;11;1
42;2.0;33.0;2;13;1
43;2.0;33.0;2;14;1
44;2.0;33.0;2;15;1
45;2.0;33.0;2;16;1
46;2.0;33.0;2;17;1
47;2.0;33.0;2;18;1
48;2.0;33.0;2;19;1
49;2.0;33.0;2;20;1
50;2.0;33.0;2;21;1
51;2.0;33.0;2;22;1
52;2.0;33.0;2;23;1
53;2.0;33.0;2;24;1
54;2.0;33.0;2;25;1
55;2.0;33.0;2;26;1
56;2.0;33.0;2;27;1
57;2.0;33.0;2;28;1
58;2.0;33.0;2;30;1
59;2.0;33.0;2;29;1
60;3.0;33.0;3;2;2
61;4.0;33.0;3;1;2
62;3.0;33.0;3;3;2
63;3.0;33.0;3;4;2
64;3.0;33.0;3;5;2
65;3.0;33.0;3;6;2
66;3.0;33.0;3;8;2
67;3.0;33.0;3;7;2
68;3.0;33.0;3;9;2
69;3.0;33.0;3;10;2
70;2.0;33.0;3;12;2
71;4.0;33.0;3;11;2
72;3.0;33.0;3;13;2
73;3.0;33.0;3;14;2
74;3.0;33.0;3;15;2
75;3.0;33.0;3;16;2
76;3.0;33.0;3;17;2
77;3.0;33.0;3;18;2
78;3.0;33.0;3;19;2
79;4.0;33.0;3;20;2
80;2.0;33.0;3;21;2
81;3.0;33.0;3;22;2
82;3.0;33.0;3;23;2
83;3.0;33.0;3;24;2
84;3.0;33.0;3;26;2
85;3.0;33.0;3;25;2
86;3.0;33.0;3;27;2
87;3.0;33.0;3;28;2
88;3.0;33.0;3;30;2
89;3.0;33.0;3;29;2
90;5.0;33.0;4;2;2
91;4.0;33.0;4;1;2
92;5.0;33.0;4;3;2
93;5.0;33.0;4;4;2
94;4.0;32.0;4;5;2
95;4.0;32.0;4;6;2
96;5.0;32.0;4;7;2
97;4.0;33.0;4;8;2
98;5.0;32.0;4;9;2
99;4.0;32.0;4;10;2
100;4.0;32.0;4;11;2
101;4.0;32.0;4;12;2
102;5.0;33.0;4;13;2
103;4.0;33.0;4;14;2
104;4.0;33.0;4;15;2
105;4.0;32.0;4;16;2
106;5.0;32.0;4;17;2
107;4.0;32.0;4;18;2
108;4.0;32.0;4;19;2
109;5.0;32.0;4;20;2
110;4.0;33.0;4;21;2
111;4.0;33.0;4;22;2
112;4.0;33.0;4;23;2
113;4.0;33.0;4;24;2
114;5.0;33.0;4;25;2
115;5.0;32.0;4;26;2
116;5.0;32.0;4;28;2
117;5.0;33.0;4;27;2
118;4.0;33.0;4;29;2
119;4.0;33.0;4;30;2
120;5.0;33.0;5;2;2
121;5.0;33.0;5;1;2
122;5.0;33.0;5;3;2
123;5.0;33.0;5;4;2
124;5.0;32.0;5;5;2
125;5.0;32.0;5;6;2
126;5.0;33.0;5;7;2
127;5.0;33.0;5;8;2
128;6.0;32.0;5;9;2
129;5.0;32.0;5;10;2
130;5.0;33.0;5;11;2
131;5.0;33.0;5;12;2
132;5.0;33.0;5;14;2
133;5.0;33.0;5;13;2
134;5.0;32.0;5;16;2
135;6.0;33.0;5;15;2
136;5.0;33.0;5;17;2
137;5.0;33.0;5;18;2
138;5.0;32.0;5;19;2
139;5.0;32.0;5;20;2
140;5.0;32.0;5;21;2
141;5.0;32.0;5;22;2
142;5.0;32.0;5;23;2
143;5.0;32.0;5;24;2
144;5.0;32.0;5;25;2
145;5.0;33.0;5;26;2
146;5.0;32.0;5;27;2
147;5.0;32.0;5;28;2
148;5.0;32.0;5;29;2
149;5.0;32.0;5;30;2
150;7.0;31.0;6;2;3
151;7.0;31.0;6;1;3
152;7.0;31.0;6;3;3
153;7.0;31.0;6;4;3
154;6.0;31.0;6;5;3
155;6.0;31.0;6;6;3
156;7.0;31.0;6;8;3
157;7.0;31.0;6;7;3
158;8.0;31.0;6;9;3
159;7.0;31.0;6;10;3
160;7.0;31.0;6;11;3
161;7.0;31.0;6;12;3
162;7.0;31.0;6;13;3
163;7.0;31.0;6;14;3
164;7.0;31.0;6;15;3
165;8.0;31.0;6;16;3
166;6.0;31.0;6;17;3
167;7.0;31.0;6;18;3
168;6.0;31.0;6;19;3
169;7.0;31.0;6;20;3
170;6.0;31.0;6;21;3
171;7.0;30.0;6;22;3
172;7.0;31.0;6;23;3
173;6.0;31.0;6;24;3
174;6.0;31.0;6;25;3
175;8.0;31.0;6;26;3
176;8.0;31.0;6;28;3
177;8.0;31.0;6;27;3
178;6.0;31.0;6;30;3
179;7.0;31.0;6;29;3
180;8.0;31.0;7;1;3
181;8.0;31.0;7;2;3
182;8.0;31.0;7;3;3
183;8.0;31.0;7;4;3
184;8.0;31.0;7;5;3
185;9.0;31.0;7;6;3
186;8.0;31.0;7;7;3
187;8.0;31.0;7;8;3
188;8.0;31.0;7;9;3
189;9.0;31.0;7;10;3
190;8.0;31.0;7;11;3
191;8.0;31.0;7;12;3
192;8.0;31.0;7;13;3
193;9.0;31.0;7;14;3
194;8.0;31.0;7;15;3
195;8.0;31.0;7;16;3
196;8.0;31.0;7;17;3
197;8.0;31.0;7;18;3
198;8.0;31.0;7;19;3
199;8.0;30.0;7;20;3
200;8.0;31.0;7;21;3
201;8.0;31.0;7;22;3
202;8.0;31.0;7;23;3
203;8.0;31.0;7;24;3
204;8.0;31.0;7;25;3
205;8.0;31.0;7;26;3
206;8.0;31.0;7;28;3
207;8.0;31.0;7;27;3
208;8.0;31.0;7;30;3
209;9.0;31.0;7;29;3
210;9.0;30.0;8;1;4
211;9.0;30.0;8;2;4
212;10.0;30.0;8;4;4
213;9.0;30.0;8;3;4
214;10.0;30.0;8;6;4
215;10.0;30.0;8;5;4
216;9.0;30.0;8;7;4
217;10.0;30.0;8;8;4
218;10.0;30.0;8;9;4
219;10.0;30.0;8;10;4
220;9.0;30.0;8;11;4
221;9.0;30.0;8;12;4
222;9.0;30.0;8;13;4
223;9.0;30.0;8;14;4
224;10.0;30.0;8;16;4
225;9.0;30.0;8;15;4
