Resultado Quicksort;Resultado RadixSort;Valor n en 2^n;n° prueba;valor k radixsort
2;43;1;1;1
2;43;1;2;1
2;42;1;4;1
2;43;1;3;1
2;43;1;6;1
2;43;1;5;1
2;43;1;7;1
2;43;1;8;1
2;43;1;9;1
2;43;1;10;1
2;43;1;11;1
2;42;1;12;1
2;43;1;13;1
2;43;1;14;1
2;42;1;16;1
2;43;1;15;1
2;42;1;17;1
2;42;1;18;1
2;42;1;19;1
2;43;1;20;1
2;43;1;21;1
2;43;1;22;1
2;43;1;23;1
2;43;1;24;1
2;46;1;25;1
2;45;1;26;1
2;44;1;27;1
2;44;1;28;1
2;44;1;29;1
2;44;1;30;1
3;43;2;1;1
3;44;2;2;1
2;43;2;3;1
2;43;2;4;1
3;43;2;5;1
3;43;2;6;1
2;43;2;8;1
2;43;2;7;1
2;43;2;9;1
3;43;2;10;1
3;43;2;12;1
3;43;2;11;1
3;43;2;13;1
3;43;2;14;1
3;43;2;15;1
3;43;2;16;1
3;43;2;17;1
2;43;2;18;1
3;43;2;19;1
2;43;2;20;1
3;43;2;21;1
3;43;2;22;1
3;43;2;23;1
3;43;2;24;1
2;43;2;25;1
3;44;2;26;1
3;43;2;27;1
3;43;2;28;1
3;43;2;30;1
2;43;2;29;1
4;44;3;2;2
5;44;3;1;2
4;44;3;3;2
4;44;3;4;2
4;44;3;5;2
4;44;3;6;2
4;44;3;8;2
4;44;3;7;2
4;43;3;9;2
4;43;3;10;2
3;44;3;12;2
5;44;3;11;2
4;44;3;13;2
4;44;3;14;2
4;43;3;15;2
4;44;3;16;2
4;43;3;17;2
4;43;3;18;2
4;44;3;19;2
5;44;3;20;2
3;44;3;21;2
4;44;3;22;2
4;44;3;23;2
4;44;3;24;2
4;44;3;26;2
4;44;3;25;2
4;43;3;27;2
4;43;3;28;2
4;44;3;30;2
4;44;3;29;2
7;43;4;2;2
5;43;4;1;2
6;43;4;3;2
6;43;4;4;2
5;42;4;5;2
